,District_Code,Sex,District,Neighborhood,Population,Neighborhood_Code,Academic_Qualification
276,8,Women,Nou Barris,Vallbona,76,56,High school / BUP / COU / FPII / CFGM Intermediate Grade
277,9,Women,Sant Andreu,la Trinitat Vella,806,57,High school / BUP / COU / FPII / CFGM Intermediate Grade
278,9,Women,Sant Andreu,Baró de Viver,181,58,High school / BUP / COU / FPII / CFGM Intermediate Grade
279,9,Women,Sant Andreu,el Bon Pastor,1190,59,High school / BUP / COU / FPII / CFGM Intermediate Grade
280,9,Women,Sant Andreu,Sant Andreu,6573,60,High school / BUP / COU / FPII / CFGM Intermediate Grade
281,9,Women,Sant Andreu,la Sagrera,3432,61,High school / BUP / COU / FPII / CFGM Intermediate Grade
282,9,Women,Sant Andreu,el Congrés i els Indians,1754,62,High school / BUP / COU / FPII / CFGM Intermediate Grade
283,9,Women,Sant Andreu,Navas,2671,63,High school / BUP / COU / FPII / CFGM Intermediate Grade
284,10,Women,Sant Martí,el Camp de l'Arpa del Clot,4449,64,High school / BUP / COU / FPII / CFGM Intermediate Grade
285,10,Women,Sant Martí,el Clot,3014,65,High school / BUP / COU / FPII / CFGM Intermediate Grade
286,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,1652,66,High school / BUP / COU / FPII / CFGM Intermediate Grade
287,10,Women,Sant Martí,la Vila Olímpica del Poblenou,942,67,High school / BUP / COU / FPII / CFGM Intermediate Grade
288,10,Women,Sant Martí,el Poblenou,3521,68,High school / BUP / COU / FPII / CFGM Intermediate Grade
289,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,1253,69,High school / BUP / COU / FPII / CFGM Intermediate Grade
290,10,Women,Sant Martí,el Besòs i el Maresme,2078,70,High school / BUP / COU / FPII / CFGM Intermediate Grade
291,10,Women,Sant Martí,Provençals del Poblenou,2238,71,High school / BUP / COU / FPII / CFGM Intermediate Grade
292,10,Women,Sant Martí,Sant Martí de Provençals,2841,72,High school / BUP / COU / FPII / CFGM Intermediate Grade
293,10,Women,Sant Martí,la Verneda i la Pau,2884,73,High school / BUP / COU / FPII / CFGM Intermediate Grade
