,District_Code,Sex,District,Neighborhood,Neighborhood_Code,Population,Five-Year_Age,Nationality
3564,9,Women,Sant Andreu,Sant Andreu,60,454,30-34 years,Foreign
3565,9,Women,Sant Andreu,la Sagrera,61,373,30-34 years,Foreign
3566,9,Women,Sant Andreu,el Congrés i els Indians,62,209,30-34 years,Foreign
3567,9,Women,Sant Andreu,Navas,63,330,30-34 years,Foreign
3568,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,802,30-34 years,Foreign
3569,10,Women,Sant Martí,el Clot,65,430,30-34 years,Foreign
3570,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,325,30-34 years,Foreign
3571,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,139,30-34 years,Foreign
3572,10,Women,Sant Martí,el Poblenou,68,663,30-34 years,Foreign
3573,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,217,30-34 years,Foreign
3574,10,Women,Sant Martí,el Besòs i el Maresme,70,506,30-34 years,Foreign
3575,10,Women,Sant Martí,Provençals del Poblenou,71,326,30-34 years,Foreign
3576,10,Women,Sant Martí,Sant Martí de Provençals,72,294,30-34 years,Foreign
3577,10,Women,Sant Martí,la Verneda i la Pau,73,278,30-34 years,Foreign
3578,1,Women,Ciutat Vella,el Raval,1,1351,35-39 years,Foreign
3579,1,Women,Ciutat Vella,el Barri Gòtic,2,557,35-39 years,Foreign
3580,1,Women,Ciutat Vella,la Barceloneta,3,400,35-39 years,Foreign
3581,1,Women,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4,680,35-39 years,Foreign
3582,2,Women,Eixample,el Fort Pienc,5,596,35-39 years,Foreign
3583,2,Women,Eixample,la Sagrada Família,6,914,35-39 years,Foreign
3584,2,Women,Eixample,la Dreta de l'Eixample,7,740,35-39 years,Foreign
3585,2,Women,Eixample,l'Antiga Esquerra de l'Eixample,8,719,35-39 years,Foreign
3586,2,Women,Eixample,la Nova Esquerra de l'Eixample,9,853,35-39 years,Foreign
3587,2,Women,Eixample,Sant Antoni,10,668,35-39 years,Foreign
3588,3,Women,Sants-Montjuïc,el Poble Sec,11,1011,35-39 years,Foreign
3589,3,Women,Sants-Montjuïc,la Marina del Prat Vermell,12,11,35-39 years,Foreign
3590,3,Women,Sants-Montjuïc,la Marina de Port,13,393,35-39 years,Foreign
3591,3,Women,Sants-Montjuïc,la Font de la Guatlla,14,153,35-39 years,Foreign
3592,3,Women,Sants-Montjuïc,Hostafrancs,15,294,35-39 years,Foreign
3593,3,Women,Sants-Montjuïc,la Bordeta,16,226,35-39 years,Foreign
3594,3,Women,Sants-Montjuïc,Sants - Badal,17,372,35-39 years,Foreign
3595,3,Women,Sants-Montjuïc,Sants,18,685,35-39 years,Foreign
3596,4,Women,Les Corts,les Corts,19,465,35-39 years,Foreign
3597,8,Women,Nou Barris,Vallbona,56,14,40-44 years,Foreign
3598,4,Women,Les Corts,la Maternitat i Sant Ramon,20,254,35-39 years,Foreign
3599,4,Women,Les Corts,Pedralbes,21,125,35-39 years,Foreign
3600,5,Women,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",22,57,35-39 years,Foreign
3601,5,Women,Sarrià-Sant Gervasi,Sarrià,23,208,35-39 years,Foreign
3602,5,Women,Sarrià-Sant Gervasi,les Tres Torres,24,117,35-39 years,Foreign
3603,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,25,228,35-39 years,Foreign
3604,5,Women,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,26,439,35-39 years,Foreign
3605,5,Women,Sarrià-Sant Gervasi,el Putxet i el Farró,27,340,35-39 years,Foreign
3606,6,Women,Gràcia,Vallcarca i els Penitents,28,191,35-39 years,Foreign
3607,6,Women,Gràcia,el Coll,29,100,35-39 years,Foreign
3608,6,Women,Gràcia,la Salut,30,160,35-39 years,Foreign
3609,6,Women,Gràcia,la Vila de Gràcia,31,952,35-39 years,Foreign
3610,6,Women,Gràcia,el Camp d'en Grassot i Gràcia Nova,32,507,35-39 years,Foreign
3611,7,Women,Horta-Guinardó,el Baix Guinardó,33,329,35-39 years,Foreign
3612,7,Women,Horta-Guinardó,Can Baró,34,119,35-39 years,Foreign
3613,7,Women,Horta-Guinardó,el Guinardó,35,511,35-39 years,Foreign
3614,7,Women,Horta-Guinardó,la Font d'en Fargues,36,70,35-39 years,Foreign
3615,7,Women,Horta-Guinardó,el Carmel,37,395,35-39 years,Foreign
3616,7,Women,Horta-Guinardó,la Teixonera,38,152,35-39 years,Foreign
3617,7,Women,Horta-Guinardó,Sant Genís dels Agudells,39,97,35-39 years,Foreign
3618,7,Women,Horta-Guinardó,Montbau,40,40,35-39 years,Foreign
3619,7,Women,Horta-Guinardó,la Vall d'Hebron,41,50,35-39 years,Foreign
3620,7,Women,Horta-Guinardó,la Clota,42,9,35-39 years,Foreign
3621,7,Women,Horta-Guinardó,Horta,43,340,35-39 years,Foreign
3622,8,Women,Nou Barris,Vilapicina i la Torre Llobeta,44,316,35-39 years,Foreign
3623,8,Women,Nou Barris,Porta,45,431,35-39 years,Foreign
3624,8,Women,Nou Barris,el Turó de la Peira,46,278,35-39 years,Foreign
3625,8,Women,Nou Barris,Can Peguera,47,13,35-39 years,Foreign
3626,8,Women,Nou Barris,la Guineueta,48,109,35-39 years,Foreign
3627,8,Women,Nou Barris,Canyelles,49,30,35-39 years,Foreign
3628,8,Women,Nou Barris,les Roquetes,50,313,35-39 years,Foreign
3629,8,Women,Nou Barris,Verdun,51,191,35-39 years,Foreign
3630,8,Women,Nou Barris,la Prosperitat,52,336,35-39 years,Foreign
3631,8,Women,Nou Barris,la Trinitat Nova,53,118,35-39 years,Foreign
3632,8,Women,Nou Barris,Torre Baró,54,41,35-39 years,Foreign
3633,8,Women,Nou Barris,Ciutat Meridiana,55,237,35-39 years,Foreign
3634,8,Women,Nou Barris,Vallbona,56,13,35-39 years,Foreign
3635,9,Women,Sant Andreu,la Trinitat Vella,57,193,35-39 years,Foreign
3636,9,Women,Sant Andreu,Baró de Viver,58,29,35-39 years,Foreign
3637,9,Women,Sant Andreu,el Bon Pastor,59,158,35-39 years,Foreign
3638,9,Women,Sant Andreu,Sant Andreu,60,417,35-39 years,Foreign
3639,9,Women,Sant Andreu,la Sagrera,61,326,35-39 years,Foreign
3640,9,Women,Sant Andreu,el Congrés i els Indians,62,174,35-39 years,Foreign
3641,9,Women,Sant Andreu,Navas,63,263,35-39 years,Foreign
3642,10,Women,Sant Martí,el Camp de l'Arpa del Clot,64,613,35-39 years,Foreign
3643,10,Women,Sant Martí,el Clot,65,333,35-39 years,Foreign
3644,10,Women,Sant Martí,el Parc i la Llacuna del Poblenou,66,264,35-39 years,Foreign
3645,10,Women,Sant Martí,la Vila Olímpica del Poblenou,67,145,35-39 years,Foreign
3646,10,Women,Sant Martí,el Poblenou,68,618,35-39 years,Foreign
3647,10,Women,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,69,248,35-39 years,Foreign
3648,10,Women,Sant Martí,el Besòs i el Maresme,70,457,35-39 years,Foreign
3649,10,Women,Sant Martí,Provençals del Poblenou,71,299,35-39 years,Foreign
